3,date,rfh,r1h,r3h,rfh_avg,r1f_avg,r3h_avg,rfq,r1q,r3q
102961,1/1/2025,9.318039,16.5265,37.79084,2.293306,0.358622,44.82813,111.12577,94.25925,77.79593
102962,1/11/2025,14.769657,18.32523,171.39987,2.552942,6.572406,27.13844,96.8669,92.57096,87.02077
102963,1/21/2025,19.398833,25.17646,264.46857,2.741234,12.451788,78.86719,94.58972,101.02921,92.97779
102964,1/31/2025,22.981149,16.97055,364.72206,2.871486,18.09993,109.44545,105.16071,101.36323,95.6512
102965,2/10/2025,25.271109,21.00554,432.0084,2.964806,20.405016,118.15098,112.92603,101.0725,97.78557
102966,2/20/2025,25.504192,20.40499,507.41682,3.029943,23.589981,105.23134,105.72815,101.27498,99.4517
102967,3/2/2025,24.011811,25.22135,555.85259,3.0763,24.026873,71.54744,95.69326,101.54321,100.75317
102968,3/12/2025,21.169911,24.20525,612.72957,3.108817,26.582748,18.61404,98.63751,101.66218,101.76979
102969,3/22/2025,17.476037,23.96559,647.40924,3.131874,26.94515,51.45138,109.30514,101.69899,102.56389
102970,4/1/2025,13.491172,23.29133,690.44211,3.148092,29.198586,136.02762,110.62788,101.72223,103.18418
102971,4/11/2025,9.818074,23.5741,715.10643,3.159568,29.568309,232.07595,101.0158,101.74074,103.6687
102972,4/21/2025,6.953713,24.75245,747.77812,3.167652,31.135447,336.24924,96.05019,101.75171,104.04717
102973,5/1/2025,5.238327,24.40533,765.17085,3.173366,31.440391,445.0069,103.25507,101.75723,104.3428
102974,5/11/2025,4.823456,24.75809,790.07194,3.177395,32.33812,554.73301,110.7484,101.76024,104.57373
102975,5/21/2025,5.667097,23.9404,802.203,3.180241,32.714075,661.85522,106.80363,101.76207,104.75411
102976,5/31/2025,7.55117,24.51492,821.26255,3.182248,33.150382,762.9594,98.16998,101.76315,104.89501
102977,6/10/2025,10.127192,24.28396,829.60206,3.183665,33.641776,854.89691,98.58084,101.76377,105.00507
102978,6/20/2025,12.976167,24.72192,844.25846,3.184665,33.766054,934.88105,106.93251,101.76411,105.09104
102979,6/30/2025,15.673403,24.42037,849.8797,3.185371,34.304862,1000.56978,109.7664,101.76431,105.15819
102980,7/10/2025,17.848881,24.50078,861.2071,3.18587,34.234187,1050.13234,102.93479,101.76442,105.21065
